idInterno,quienRegistro,fechaRegistro,fechaEstado,etapa,actuacion,observacion
11001310300420150059600,Sistema,2025-08-21,2025-08-21,,Movimiento expediente,se agrega memorial 9116-2025 pasa para la letra- ndc
11001310300720210039300,Sistema,2025-08-21,2025-08-20,,Oficio firmado,EN LA fecha se firma oficio// correspondencia // eaa
11001310300820160010600,Sistema,2025-08-21,2025-08-20,,Elaboración de oficios,SE ELABORA OFICIO PASA PRA FIRMA PFA 2 CD
11001310300820160010600,Sistema,2025-08-21,2025-08-20,,Constancia secretarial,En la fecha el área de oficios retira el proceso// cuadernos// PA// eaa
11001310300920190038100,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 11:22:48.
11001310300920190038100,Sistema,2025-08-21,2025-08-20,,Auto decreta medida cautelar,
11001310300920220016200,Sistema,2025-08-21,2025-08-20,,Envio Expediente,Se Remite El Expediente A Los Juzgados Civiles Del Circuito De Ejecución De Sentencias
11001310301220180004800,Sistema,2025-08-21,2025-08-21,,Recepción memorial,"Radicado No. 8696-2025, Entidad o Señor(a): DIAN - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Otro, Observaciones: RESPUESTA OFICIO AA2087 - NI 91.240.867 De: corresp_salida_bog-imp <corresp_salida_bog-imp@dian.gov.co> Enviado: jueves, 21 de agosto de 2025 08:45 11001310301220180004800 JDO 5 // JG // FL 2"
11001310301220210053600,Sistema,2025-08-21,2025-08-21,,Recepción memorial,"Radicado No. 8720-2025, Entidad o Señor(a): JUZ 12 CCTO BTA - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Otro, Observaciones: De: Juzgado 12 Civil Circuito - Bogotá - Bogotá D.C. <ccto12bt@cendoj.ramajudicial.gov.co> Enviado: jueves, 21 de agosto de 2025 10:13 Para: Gestión Documental Juzgado 03 Civil Circuito Ejecución Sentencias - Bogotá - Bogotá D.C. <gesdocj03ejeccbta@cendoj.ramajudicial.gov.co> Asunto: REMITO OFICIO No. 1583 PROCESO EJECUTIVO DE MAYOR CUANTIA No 110013103012 2021- 00536 00 DE BANCO DE BOGOTA SA. NIT. 860.002.964-4 contra R & V AGROCERCAS Y MALLAS S.A.S. NIT. 830.053.478-5, NICOLÁS RODRÍGUEZ BUENAVENTURA, CC. 79.751.184 y CAROLINA LEYV PROCESO- 11001310301220210053600 / 005 Juzgado / FL 03 / ME"
11001310301320040023401,Sistema,2025-08-21,2025-08-20,,Archivo Oficina,ARCHIVADO EN LA CAJA 909-2025 CON 02 CUADERNOS PENDIENTE ENVIO ARCHIVO CENTRAL ME.
11001310301820170030400,Sistema,2025-08-21,2025-08-20,,Al despacho,SOLICITUD MEDIDAS CAUTELARES// CON 2 CDNS//CE
